feature,selection_frequency,mean_rank_when_selected,mean_gain_share
F454,0.1,9.0,0.016404899850672082
F169,0.1,8.0,0.01579307960897763
F2446,0.1,13.0,0.015113999834658156
F2780,0.1,14.0,0.015040647256253542
F508,0.1,9.0,0.014169420953403258
F327,0.1,10.0,0.013961686759844242
F3843,0.1,12.0,0.0139257293809503
F1849,0.1,10.0,0.013441547936215518
F2610,0.1,9.0,0.013436398707556162
F1281,0.1,11.0,0.013379419609765304
F269,0.1,12.0,0.012419113274701556
F1743,0.1,11.0,0.012152879575591496
F3049,0.1,8.0,0.011772013419959228
F2485,0.1,9.0,0.011416712189206538
F2028,0.1,13.0,0.01072179319958053
F3738,0.1,11.0,0.009518448268798512
F3866,0.1,14.0,0.00822166997608449
F423,0.1,13.0,0.007988098214378922
F2786,0.1,13.0,0.007485983784565922
F19,0.1,15.0,0.007264400745074289
F142,0.1,10.0,0.006981168265847556
F2997,0.1,18.0,0.005758949576934061
F59,0.1,9.0,0.005606466897009142
F2956,0.1,15.0,0.005588076673256568
F267,0.1,10.0,0.004940620899620071
F2781,0.1,11.0,0.004782151059787356
F2357,0.1,12.0,0.004744753610261619
F2643,0.1,17.0,0.004591974912063656
F1851,0.1,13.0,0.004116031470437674
F2341,0.1,15.0,0.004097237755365477
F3515,0.1,10.0,0.004010677975651445
F3644,0.1,20.0,0.003558862744864848
F2787,0.1,21.0,0.0033630950794244613
F2252,0.1,14.0,0.0030979947934360306
F1744,0.1,25.0,0.0030460073366514757
F1821,0.1,14.0,0.0029902107475100292
F3004,0.1,16.0,0.002977679438158967
F564,0.1,12.0,0.002798049953845782
F1489,0.1,27.0,0.0026938562890834413
F3534,0.1,10.0,0.0026902732906774088
F369,0.1,17.0,0.0025470134628618087
F1381,0.1,18.0,0.0025236667778628943
F2481,0.1,28.0,0.002481799143505219
F1803,0.1,18.0,0.002456938902163254
F1279,0.1,20.0,0.0024123703617517055
F3800,0.1,18.0,0.002401494875457186
F513,0.1,19.0,0.002384760621821018
F1387,0.1,29.0,0.002377907900754847
F338,0.1,20.0,0.0023582358671774017
F3872,0.1,31.0,0.002332267258063828
F2242,0.1,19.0,0.002299148678784632
F1740,0.1,34.0,0.002285818042501055
F1760,0.1,23.0,0.002253403246571167
F1862,0.1,19.0,0.0021688319780399034
F1280,0.1,16.0,0.002164934261488478
F1207,0.1,35.0,0.0021523766877054097
F2551,0.1,26.0,0.002146462909289562
F1651,0.1,20.0,0.0021432558528338675
F3661,0.1,22.0,0.002048958864750792
F541,0.1,22.0,0.002035804313626008
F2829,0.1,23.0,0.0020295926024206587
F3583,0.1,27.0,0.0020152037288080765
F3692,0.1,17.0,0.001885101668380049
F3812,0.1,27.0,0.0018716702647084867
F3553,0.1,18.0,0.0018280696072221138
F1533,0.1,30.0,0.0018027083346662859
F2652,0.1,30.0,0.0017796048138767147
F567,0.1,21.0,0.0017729615195042137
F1642,0.1,25.0,0.00177013251393002
