feature,selection_frequency
F2716,0.02
F2719,0.02
F2720,0.02
F2723,0.02
F2733,0.02
F2736,0.02
F2740,0.02
F2775,0.02
F2831,0.02
F2837,0.02
F2841,0.02
F2843,0.02
F2865,0.02
F2883,0.02
F2885,0.02
F2937,0.02
F2938,0.02
F3003,0.02
F3009,0.02
F3055,0.02
F3057,0.02
F3061,0.02
F3079,0.02
F3111,0.02
F3138,0.02
F3542,0.02
F3550,0.02
F3568,0.02
F3595,0.02
F3596,0.02
F3612,0.02
F3630,0.02
F3649,0.02
F3650,0.02
F3658,0.02
F3685,0.02
F3687,0.02
F3688,0.02
F3693,0.02
F3704,0.02
F3729,0.02
F3735,0.02
F3741,0.02
F3792,0.02
F3847,0.02
F3852,0.02
F3859,0.02
F3861,0.02
F3870,0.02
F3872,0.02
F3883,0.02
F3896,0.02
F3904,0.02
F37,0.015000000000000003
F77,0.015000000000000003
F153,0.015000000000000003
F225,0.015000000000000003
F264,0.015000000000000003
F273,0.015000000000000003
F277,0.015000000000000003
F318,0.015000000000000003
F352,0.015000000000000003
F391,0.015000000000000003
F444,0.015000000000000003
F480,0.015000000000000003
F483,0.015000000000000003
F493,0.015000000000000003
F544,0.015000000000000003
F559,0.015000000000000003
F581,0.015000000000000003
F608,0.015000000000000003
F1004,0.015000000000000003
F1092,0.015000000000000003
F1099,0.015000000000000003
F1201,0.015000000000000003
F1219,0.015000000000000003
F1231,0.015000000000000003
F1280,0.015000000000000003
F1386,0.015000000000000003
F1389,0.015000000000000003
F1430,0.015000000000000003
F1465,0.015000000000000003
F1497,0.015000000000000003
F1536,0.015000000000000003
F1601,0.015000000000000003
F1629,0.015000000000000003
F1632,0.015000000000000003
F1635,0.015000000000000003
F1642,0.015000000000000003
F1652,0.015000000000000003
F1710,0.015000000000000003
F1760,0.015000000000000003
F1907,0.015000000000000003
F1919,0.015000000000000003
F1957,0.015000000000000003
F1963,0.015000000000000003
F1972,0.015000000000000003
F1973,0.015000000000000003
F1974,0.015000000000000003
F1975,0.015000000000000003
F1996,0.015000000000000003
F2026,0.015000000000000003
F2047,0.015000000000000003
F2072,0.015000000000000003
F2116,0.015000000000000003
F2121,0.015000000000000003
F2175,0.015000000000000003
F2188,0.015000000000000003
F2191,0.015000000000000003
F2200,0.015000000000000003
F2203,0.015000000000000003
F2212,0.015000000000000003
F2244,0.015000000000000003
F2261,0.015000000000000003
F2278,0.015000000000000003
F2287,0.015000000000000003
F2315,0.015000000000000003
F2424,0.015000000000000003
F2475,0.015000000000000003
F2498,0.015000000000000003
F2501,0.015000000000000003
F2580,0.015000000000000003
F2596,0.015000000000000003
F2621,0.015000000000000003
F2623,0.015000000000000003
F2663,0.015000000000000003
F2697,0.015000000000000003
F2717,0.015000000000000003
F2718,0.015000000000000003
F2730,0.015000000000000003
F2788,0.015000000000000003
F2797,0.015000000000000003
F2824,0.015000000000000003
F2907,0.015000000000000003
F2925,0.015000000000000003
F2955,0.015000000000000003
F2973,0.015000000000000003
F3085,0.015000000000000003
F3087,0.015000000000000003
F3197,0.015000000000000003
F3229,0.015000000000000003
F3519,0.015000000000000003
F3531,0.015000000000000003
F3538,0.015000000000000003
F3574,0.015000000000000003
F3602,0.015000000000000003
F3676,0.015000000000000003
F3677,0.015000000000000003
F3678,0.015000000000000003
F3682,0.015000000000000003
F3684,0.015000000000000003
F3691,0.015000000000000003
F3710,0.015000000000000003
F3711,0.015000000000000003
F3721,0.015000000000000003
F3733,0.015000000000000003
F3739,0.015000000000000003
F3757,0.015000000000000003
F3786,0.015000000000000003
F3794,0.015000000000000003
F3803,0.015000000000000003
F3844,0.015000000000000003
F3848,0.015000000000000003
F3850,0.015000000000000003
F3851,0.015000000000000003
F3853,0.015000000000000003
F3854,0.015000000000000003
F3856,0.015000000000000003
F3869,0.015000000000000003
F3885,0.015000000000000003
F208,0.015
F606,0.015
F1146,0.015
F1572,0.015
F1905,0.015
F2065,0.015
F2933,0.015
F3326,0.015
F10,0.01
F15,0.01
F47,0.01
F54,0.01
F66,0.01
F73,0.01
F89,0.01
F100,0.01
F127,0.01
F133,0.01
F136,0.01
F142,0.01
F166,0.01
F169,0.01
F171,0.01
F172,0.01
F174,0.01
F207,0.01
F210,0.01
F300,0.01
F305,0.01
F309,0.01
F351,0.01
F354,0.01
F397,0.01
F398,0.01
F403,0.01
F404,0.01
F442,0.01
F481,0.01
F499,0.01
F501,0.01
F512,0.01
F583,0.01
F598,0.01
F600,0.01
F601,0.01
F603,0.01
F613,0.01
F841,0.01
