feature,target_corr,single_feature_cv_pr_auc,single_feature_cv_roc_auc,mutual_information_bits,label_reconstruction_rate,identifier_like,flag_high_corr,flag_high_single_ap,flag_label_copy,flag_perfect_separation,flag_identifier,suspicious
F119,0.04765398547835478,0.018885704104574665,0.6569199440534126,0.003793094317942389,0.0,false,false,false,false,false,false,false
F120,0.057749124621284224,0.018246764367148758,0.6816967219101226,0.003874180773441732,0.0,false,false,false,false,false,false,false
F121,0.057591085060538096,0.0176898982752008,0.6444275882271286,0.003607083787235412,0.0,false,false,false,false,false,false,false
F122,0.06057503719527836,0.0196374371225218,0.6637672802509862,0.004468975485563983,0.0,false,false,false,false,false,false,false
F123,0.05784208409539391,0.018266137576310404,0.6525637248097462,0.003162437156433769,0.0,false,false,false,false,false,false,false
F124,0.048825773081938736,0.016861417664632557,0.6545099216393943,0.0031087063283918503,0.0,false,false,false,false,false,false,false
F125,0.04765398547835478,0.018885704104574665,0.6569199440534126,0.003793094317942389,0.0,false,false,false,false,false,false,false
F126,0.057749124621284224,0.018246764367148758,0.6816967219101226,0.003874180773441732,0.0,false,false,false,false,false,false,false
F127,0.024575243787463598,0.011196867434632543,0.5293780928714258,0.0007642231227915781,0.0,false,false,false,false,false,false,false
F128,0.0,0.008918738132841702,0.5,0.0,0.0,false,false,false,false,false,false,false
F129,0.024575243787463598,0.011196867434632543,0.5293780928714258,0.0007642231227915781,0.0,false,false,false,false,false,false,false
F130,0.017243648471728244,0.010550643029406285,0.5075713398375267,0.0003731239245755408,0.0,false,false,false,false,false,false,false
F131,0.0,0.008918738132841702,0.5,0.0,0.0,false,false,false,false,false,false,false
F132,0.017243648471728244,0.010550643029406285,0.5075713398375267,0.0003731239245755408,0.0,false,false,false,false,false,false,false
F133,0.013279293608096761,0.009607729039179998,0.5059876908888671,0.0013066565715475257,0.0,false,false,false,false,false,false,false
F134,0.0,0.008930542386920629,0.5001110802640508,0.00003277338447355226,0.0,false,false,false,false,false,false,false
F135,0.01330002471566474,0.009604504146359296,0.5058835242222004,0.0013012127601983248,0.0,false,false,false,false,false,false,false
F136,0.01265640224853494,0.009697121814590131,0.5105357317829964,0.001300699768943197,0.0,false,false,false,false,false,false,false
F137,0.0,0.008929571524916528,0.4999999691529397,0.00003277338447355226,0.0,false,false,false,false,false,false,false
F138,0.01265137136439172,0.009695695688172598,0.5105220471424735,0.0012952488191790778,0.0,false,false,false,false,false,false,false
F139,-0.074581306535945,0.010526079704482381,0.5369946634585724,0.0018692966834705418,0.0,false,false,false,false,false,false,false
